id,grupo,texto,opciones,normaDefault,correccionDefault,seccion,orden
AP_PROP_013,2.3. Implantación,El plano de implantación indica claramente las medidas generales y los ángulos del terreno.,Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 84, numeral 2.3",,PROPUESTA_ARQUITECTONICA,13
AP_PROP_014,2.3. Implantación,"El plano de implantación identifica retiros, afectaciones, colindantes y eje vial.",Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 84, numeral 2.3",,PROPUESTA_ARQUITECTONICA,14
AP_PROP_015,2.4.1. Propuesta arquitectónica,Presenta la implantación general.,Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 84, numeral 2.4.1",,PROPUESTA_ARQUITECTONICA,15
AP_PROP_016,2.4.1. Propuesta arquitectónica,Presenta las plantas arquitectónicas.,Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 84, numeral 2.4.1",,PROPUESTA_ARQUITECTONICA,16
AP_PROP_017,2.4.1. Propuesta arquitectónica,Presenta las fachadas.,Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 84, numeral 2.4.1",,PROPUESTA_ARQUITECTONICA,17
AP_PROP_018,2.4.1. Propuesta arquitectónica,Presenta los cortes.,Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 84, numeral 2.4.1",,PROPUESTA_ARQUITECTONICA,18
AP_PROP_019,2.4.2. Cuadro de datos,El cuadro de datos indica el área total del predio.,Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 84, numeral 2.4.2",,PROPUESTA_ARQUITECTONICA,19
AP_PROP_020,2.4.2. Cuadro de datos,El cuadro de datos indica el área de afectación.,Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 84, numeral 2.4.2",,PROPUESTA_ARQUITECTONICA,20
AP_PROP_021,2.4.2. Cuadro de datos,El cuadro de datos indica el área de construcción.,Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 84, numeral 2.4.2",,PROPUESTA_ARQUITECTONICA,21
AP_PROP_022,2.4.2. Cuadro de datos,El cuadro de datos indica las unidades de edificación por uso.,Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 84, numeral 2.4.2",,PROPUESTA_ARQUITECTONICA,22
AP_PROP_023,2.4.2. Cuadro de datos,El cuadro de datos diferencia áreas computables y no computables.,Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 84, numeral 2.4.2",,PROPUESTA_ARQUITECTONICA,23
AP_PROP_024,2.4.2. Cuadro de datos,El cuadro de datos diferencia áreas abiertas y cerradas.,Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 84, numeral 2.4.2",,PROPUESTA_ARQUITECTONICA,24
AP_PROP_025,2.4.2. Cuadro de datos,El cuadro de datos incluye COS PB y COS total en el formato establecido.,Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 84, numeral 2.4.2",,PROPUESTA_ARQUITECTONICA,25
AP_PROP_026,2.4.3. Propiedad horizontal,"Cuando el proyecto se declarará bajo régimen de propiedad horizontal, el cuadro incluye el área comunal y el área verde.",Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 84, numeral 2.4.3",,PROPUESTA_ARQUITECTONICA,26
AP_PROP_027,2.4.4. Ampliación o modificación,"En ampliaciones o modificaciones, se presentan planos del estado actual y de las secciones nuevas de la edificación para verificar las condiciones de seguridad.",Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 84, numeral 2.4.4",,PROPUESTA_ARQUITECTONICA,27
AP_PROP_028,2.4.4. Ampliación o modificación,Las demoliciones se identifican en color amarillo.,Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 84, numeral 2.4.4",,PROPUESTA_ARQUITECTONICA,28
AP_PROP_029,2.4.4. Ampliación o modificación,La construcción nueva se identifica en color rojo.,Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 84, numeral 2.4.4",,PROPUESTA_ARQUITECTONICA,29
AP_PROP_030,2.4.4. Ampliación o modificación,La construcción sin demoler se identifica en color negro.,Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 84, numeral 2.4.4",,PROPUESTA_ARQUITECTONICA,30
AP_PROP_031,3. Memoria fotográfica,La memoria fotográfica permite apreciar la vista frontal del lote a edificar.,Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 84, numeral 3",,PROPUESTA_ARQUITECTONICA,31
AP_PROP_032,3. Memoria fotográfica,La memoria fotográfica permite apreciar el entorno.,Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 84, numeral 3",,PROPUESTA_ARQUITECTONICA,32
AP_PROP_033,3. Memoria fotográfica,La memoria fotográfica permite apreciar los accesos.,Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 84, numeral 3",,PROPUESTA_ARQUITECTONICA,33
AP_PROP_034,3. Memoria fotográfica,La memoria fotográfica permite apreciar las obras instaladas.,Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 84, numeral 3",,PROPUESTA_ARQUITECTONICA,34
AP_PROP_035,3. Memoria fotográfica,La memoria fotográfica permite apreciar los colindantes.,Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 84, numeral 3",,PROPUESTA_ARQUITECTONICA,35
AP_PROP_036,3. Memoria fotográfica,Cada fotografía contiene la descripción de lo mostrado.,Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 84, numeral 3",,PROPUESTA_ARQUITECTONICA,36
AP_PROP_037,3. Memoria fotográfica,La memoria fotográfica se presenta en una hoja formato A4 y en formato digital.,Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 84, numeral 3",,PROPUESTA_ARQUITECTONICA,37
